action,subject,trial,action_name,sensor_placement,has_rgb,has_inertial,rgb_frames,rgb_fps,rgb_width,rgb_height,rgb_duration,inertial_length,inertial_channels,inertial_duration
4,1,2,Clap,wrist,True,True,40,15.0,640,480,2.6666666666666665,154,6,3.08
4,1,3,Clap,wrist,True,True,47,15.0,640,480,3.1333333333333333,170,6,3.4
4,1,4,Clap,wrist,True,True,47,15.0,640,480,3.1333333333333333,183,6,3.66
4,2,1,Clap,wrist,True,True,41,15.0,640,480,2.7333333333333334,139,6,2.78
4,2,2,Clap,wrist,True,True,38,15.0,640,480,2.533333333333333,131,6,2.62
4,2,3,Clap,wrist,True,True,39,15.0,640,480,2.6,145,6,2.9
4,2,4,Clap,wrist,True,True,45,15.0,640,480,3.0,150,6,3.0
4,3,1,Clap,wrist,True,True,43,15.0,640,480,2.8666666666666667,145,6,2.9
4,3,2,Clap,wrist,True,True,42,15.0,640,480,2.8,151,6,3.02
4,3,3,Clap,wrist,True,True,49,15.0,640,480,3.2666666666666666,165,6,3.3
4,3,4,Clap,wrist,True,True,49,15.0,640,480,3.2666666666666666,174,6,3.48
4,4,1,Clap,wrist,True,True,45,15.0,640,480,3.0,150,6,3.0
4,4,2,Clap,wrist,True,True,48,15.0,640,480,3.2,159,6,3.18
4,4,3,Clap,wrist,True,True,41,15.0,640,480,2.7333333333333334,150,6,3.0
4,4,4,Clap,wrist,True,True,42,15.0,640,480,2.8,143,6,2.86
4,5,1,Clap,wrist,True,True,39,15.0,640,480,2.6,138,6,2.76
4,5,2,Clap,wrist,True,True,36,15.0,640,480,2.4,141,6,2.82
4,5,3,Clap,wrist,True,True,46,15.0,640,480,3.066666666666667,165,6,3.3
4,5,4,Clap,wrist,True,True,48,15.0,640,480,3.2,167,6,3.34
4,6,1,Clap,wrist,True,True,61,15.0,640,480,4.066666666666666,197,6,3.94
4,6,2,Clap,wrist,True,True,60,15.0,640,480,4.0,193,6,3.86
4,6,3,Clap,wrist,True,True,58,15.0,640,480,3.8666666666666667,188,6,3.76
4,6,4,Clap,wrist,True,True,53,15.0,640,480,3.533333333333333,180,6,3.6
4,7,1,Clap,wrist,True,True,49,15.0,640,480,3.2666666666666666,157,6,3.14
4,7,2,Clap,wrist,True,True,53,15.0,640,480,3.533333333333333,177,6,3.54
4,7,3,Clap,wrist,True,True,51,15.0,640,480,3.4,174,6,3.48
4,7,4,Clap,wrist,True,True,46,15.0,640,480,3.066666666666667,169,6,3.38
4,8,1,Clap,wrist,True,True,53,15.0,640,480,3.533333333333333,181,6,3.62
4,8,2,Clap,wrist,True,True,56,15.0,640,480,3.7333333333333334,193,6,3.86
4,8,3,Clap,wrist,True,True,45,15.0,640,480,3.0,158,6,3.16
4,8,4,Clap,wrist,True,True,49,15.0,640,480,3.2666666666666666,176,6,3.52
7,1,1,Basketball Shoot,wrist,True,True,47,15.0,640,480,3.1333333333333333,178,6,3.56
7,1,2,Basketball Shoot,wrist,True,True,49,15.0,640,480,3.2666666666666666,175,6,3.5
7,1,3,Basketball Shoot,wrist,True,True,46,15.0,640,480,3.066666666666667,164,6,3.28
7,1,4,Basketball Shoot,wrist,True,True,39,15.0,640,480,2.6,144,6,2.88
7,2,1,Basketball Shoot,wrist,True,True,42,15.0,640,480,2.8,141,6,2.82
7,2,2,Basketball Shoot,wrist,True,True,43,15.0,640,480,2.8666666666666667,134,6,2.68
7,2,3,Basketball Shoot,wrist,True,True,43,15.0,640,480,2.8666666666666667,139,6,2.78
7,2,4,Basketball Shoot,wrist,True,True,41,15.0,640,480,2.7333333333333334,134,6,2.68
7,3,1,Basketball Shoot,wrist,True,True,46,15.0,640,480,3.066666666666667,148,6,2.96
7,3,2,Basketball Shoot,wrist,True,True,45,15.0,640,480,3.0,146,6,2.92
7,3,3,Basketball Shoot,wrist,True,True,46,15.0,640,480,3.066666666666667,164,6,3.28
7,3,4,Basketball Shoot,wrist,True,True,47,15.0,640,480,3.1333333333333333,164,6,3.28
7,4,1,Basketball Shoot,wrist,True,True,38,15.0,640,480,2.533333333333333,131,6,2.62
7,4,2,Basketball Shoot,wrist,True,True,38,15.0,640,480,2.533333333333333,127,6,2.54
7,4,3,Basketball Shoot,wrist,True,True,40,15.0,640,480,2.6666666666666665,144,6,2.88
7,4,4,Basketball Shoot,wrist,True,True,36,15.0,640,480,2.4,114,6,2.28
7,5,1,Basketball Shoot,wrist,True,True,45,15.0,640,480,3.0,156,6,3.12
7,5,2,Basketball Shoot,wrist,True,True,46,15.0,640,480,3.066666666666667,158,6,3.16
7,5,3,Basketball Shoot,wrist,True,True,52,15.0,640,480,3.466666666666667,187,6,3.74
7,5,4,Basketball Shoot,wrist,True,True,52,15.0,640,480,3.466666666666667,199,6,3.98
7,6,1,Basketball Shoot,wrist,True,True,48,15.0,640,480,3.2,177,6,3.54
7,6,2,Basketball Shoot,wrist,True,True,47,15.0,640,480,3.1333333333333333,166,6,3.32
7,6,3,Basketball Shoot,wrist,True,True,46,15.0,640,480,3.066666666666667,165,6,3.3
7,6,4,Basketball Shoot,wrist,True,True,43,15.0,640,480,2.8666666666666667,184,6,3.68
7,7,1,Basketball Shoot,wrist,True,True,53,15.0,640,480,3.533333333333333,173,6,3.46
7,7,2,Basketball Shoot,wrist,True,True,56,15.0,640,480,3.7333333333333334,203,6,4.06
7,7,3,Basketball Shoot,wrist,True,True,62,15.0,640,480,4.133333333333334,207,6,4.14
7,7,4,Basketball Shoot,wrist,True,True,58,15.0,640,480,3.8666666666666667,188,6,3.76
7,8,1,Basketball Shoot,wrist,True,True,49,15.0,640,480,3.2666666666666666,166,6,3.32
7,8,2,Basketball Shoot,wrist,True,True,48,15.0,640,480,3.2,157,6,3.14
7,8,3,Basketball Shoot,wrist,True,True,43,15.0,640,480,2.8666666666666667,158,6,3.16
7,8,4,Basketball Shoot,wrist,True,True,45,15.0,640,480,3.0,156,6,3.12
13,1,1,Boxing,wrist,True,True,60,15.0,640,480,4.0,209,6,4.18
13,1,2,Boxing,wrist,True,True,67,15.0,640,480,4.466666666666667,241,6,4.82
13,1,3,Boxing,wrist,True,True,63,15.0,640,480,4.2,245,6,4.9
13,1,4,Boxing,wrist,True,True,59,15.0,640,480,3.933333333333333,215,6,4.3
13,2,1,Boxing,wrist,True,True,40,15.0,640,480,2.6666666666666665,132,6,2.64
13,2,2,Boxing,wrist,True,True,40,15.0,640,480,2.6666666666666665,132,6,2.64
13,2,3,Boxing,wrist,True,True,39,15.0,640,480,2.6,139,6,2.78
13,2,4,Boxing,wrist,True,True,41,15.0,640,480,2.7333333333333334,135,6,2.7
13,3,1,Boxing,wrist,True,True,49,15.0,640,480,3.2666666666666666,158,6,3.16
13,3,2,Boxing,wrist,True,True,44,15.0,640,480,2.933333333333333,156,6,3.12
13,3,3,Boxing,wrist,True,True,52,15.0,640,480,3.466666666666667,170,6,3.4
13,3,4,Boxing,wrist,True,True,54,15.0,640,480,3.6,176,6,3.52
13,4,1,Boxing,wrist,True,True,59,15.0,640,480,3.933333333333333,200,6,4.0
13,4,2,Boxing,wrist,True,True,57,15.0,640,480,3.8,193,6,3.86
13,4,3,Boxing,wrist,True,True,56,15.0,640,480,3.7333333333333334,200,6,4.0
13,4,4,Boxing,wrist,True,True,53,15.0,640,480,3.533333333333333,197,6,3.94
13,5,1,Boxing,wrist,True,True,43,15.0,640,480,2.8666666666666667,148,6,2.96
13,5,2,Boxing,wrist,True,True,48,15.0,640,480,3.2,163,6,3.26
13,5,3,Boxing,wrist,True,True,47,15.0,640,480,3.1333333333333333,162,6,3.24
13,5,4,Boxing,wrist,True,True,49,15.0,640,480,3.2666666666666666,169,6,3.38
13,6,1,Boxing,wrist,True,True,51,15.0,640,480,3.4,167,6,3.34
13,6,2,Boxing,wrist,True,True,61,15.0,640,480,4.066666666666666,200,6,4.0
13,6,3,Boxing,wrist,True,True,63,15.0,640,480,4.2,207,6,4.14
13,6,4,Boxing,wrist,True,True,59,15.0,640,480,3.933333333333333,195,6,3.9
13,7,1,Boxing,wrist,True,True,48,15.0,640,480,3.2,165,6,3.3
13,7,2,Boxing,wrist,True,True,48,15.0,640,480,3.2,168,6,3.36
13,7,3,Boxing,wrist,True,True,50,15.0,640,480,3.3333333333333335,165,6,3.3
13,7,4,Boxing,wrist,True,True,52,15.0,640,480,3.466666666666667,170,6,3.4
13,8,1,Boxing,wrist,True,True,57,15.0,640,480,3.8,196,6,3.92
13,8,2,Boxing,wrist,True,True,50,15.0,640,480,3.3333333333333335,195,6,3.9
13,8,3,Boxing,wrist,True,True,54,15.0,640,480,3.6,189,6,3.78
13,8,4,Boxing,wrist,True,True,49,15.0,640,480,3.2666666666666666,162,6,3.24
19,1,1,Knock,wrist,True,True,49,15.0,640,480,3.2666666666666666,177,6,3.54
19,1,2,Knock,wrist,True,True,50,15.0,640,480,3.3333333333333335,171,6,3.42
19,1,3,Knock,wrist,True,True,49,15.0,640,480,3.2666666666666666,168,6,3.36
19,1,4,Knock,wrist,True,True,49,15.0,640,480,3.2666666666666666,164,6,3.28
19,2,1,Knock,wrist,True,True,44,15.0,640,480,2.933333333333333,146,6,2.92
19,2,2,Knock,wrist,True,True,40,15.0,640,480,2.6666666666666665,154,6,3.08
19,2,3,Knock,wrist,True,True,43,15.0,640,480,2.8666666666666667,148,6,2.96
19,2,4,Knock,wrist,True,True,44,15.0,640,480,2.933333333333333,164,6,3.28
19,3,1,Knock,wrist,True,True,52,15.0,640,480,3.466666666666667,173,6,3.46
19,3,2,Knock,wrist,True,True,57,15.0,640,480,3.8,187,6,3.74
19,3,3,Knock,wrist,True,True,59,15.0,640,480,3.933333333333333,198,6,3.96
19,3,4,Knock,wrist,True,True,59,15.0,640,480,3.933333333333333,206,6,4.12
19,4,1,Knock,wrist,True,True,44,15.0,640,480,2.933333333333333,144,6,2.88
19,4,2,Knock,wrist,True,True,46,15.0,640,480,3.066666666666667,148,6,2.96
19,4,3,Knock,wrist,True,True,44,15.0,640,480,2.933333333333333,145,6,2.9
19,4,4,Knock,wrist,True,True,43,15.0,640,480,2.8666666666666667,143,6,2.86
19,5,1,Knock,wrist,True,True,45,15.0,640,480,3.0,154,6,3.08
19,5,2,Knock,wrist,True,True,44,15.0,640,480,2.933333333333333,164,6,3.28
19,5,3,Knock,wrist,True,True,48,15.0,640,480,3.2,160,6,3.2
19,5,4,Knock,wrist,True,True,49,15.0,640,480,3.2666666666666666,163,6,3.26
19,6,1,Knock,wrist,True,True,69,15.0,640,480,4.6,224,6,4.48
19,6,2,Knock,wrist,True,True,62,15.0,640,480,4.133333333333334,214,6,4.28
19,6,3,Knock,wrist,True,True,69,15.0,640,480,4.6,220,6,4.4
19,6,4,Knock,wrist,True,True,65,15.0,640,480,4.333333333333333,238,6,4.76
19,7,1,Knock,wrist,True,True,49,15.0,640,480,3.2666666666666666,163,6,3.26
19,7,2,Knock,wrist,True,True,44,15.0,640,480,2.933333333333333,163,6,3.26
19,7,3,Knock,wrist,True,True,56,15.0,640,480,3.7333333333333334,185,6,3.7
19,7,4,Knock,wrist,True,True,47,15.0,640,480,3.1333333333333333,172,6,3.44
19,8,1,Knock,wrist,True,True,65,15.0,640,480,4.333333333333333,225,6,4.5
19,8,2,Knock,wrist,True,True,71,15.0,640,480,4.733333333333333,255,6,5.1
19,8,3,Knock,wrist,True,True,71,15.0,640,480,4.733333333333333,235,6,4.7
19,8,4,Knock,wrist,True,True,60,15.0,640,480,4.0,230,6,4.6
22,1,1,Jog,thigh,True,True,51,15.0,640,480,3.4,174,6,3.48
22,1,2,Jog,thigh,True,True,57,15.0,640,480,3.8,190,6,3.8
22,1,3,Jog,thigh,True,True,58,15.0,640,480,3.8666666666666667,205,6,4.1
22,1,4,Jog,thigh,True,True,53,15.0,640,480,3.533333333333333,213,6,4.26
22,2,1,Jog,thigh,True,True,43,15.0,640,480,2.8666666666666667,139,6,2.78
22,2,2,Jog,thigh,True,True,43,15.0,640,480,2.8666666666666667,150,6,3.0
22,2,3,Jog,thigh,True,True,44,15.0,640,480,2.933333333333333,139,6,2.78
22,2,4,Jog,thigh,True,True,41,15.0,640,480,2.7333333333333334,145,6,2.9
22,3,1,Jog,thigh,True,True,47,15.0,640,480,3.1333333333333333,161,6,3.22
22,3,2,Jog,thigh,True,True,54,15.0,640,480,3.6,179,6,3.58
22,3,3,Jog,thigh,True,True,49,15.0,640,480,3.2666666666666666,164,6,3.28
22,3,4,Jog,thigh,True,True,50,15.0,640,480,3.3333333333333335,171,6,3.42
22,4,1,Jog,thigh,True,True,39,15.0,640,480,2.6,135,6,2.7
22,4,2,Jog,thigh,True,True,37,15.0,640,480,2.466666666666667,136,6,2.72
22,4,3,Jog,thigh,True,True,42,15.0,640,480,2.8,143,6,2.86
22,4,4,Jog,thigh,True,True,43,15.0,640,480,2.8666666666666667,146,6,2.92
22,5,1,Jog,thigh,True,True,57,15.0,640,480,3.8,196,6,3.92
22,5,2,Jog,thigh,True,True,62,15.0,640,480,4.133333333333334,210,6,4.2
22,5,3,Jog,thigh,True,True,61,15.0,640,480,4.066666666666666,206,6,4.12
22,5,4,Jog,thigh,True,True,60,15.0,640,480,4.0,207,6,4.14
22,6,1,Jog,thigh,True,True,61,15.0,640,480,4.066666666666666,202,6,4.04
22,6,2,Jog,thigh,True,True,64,15.0,640,480,4.266666666666667,209,6,4.18
22,6,3,Jog,thigh,True,True,58,15.0,640,480,3.8666666666666667,190,6,3.8
22,6,4,Jog,thigh,True,True,56,15.0,640,480,3.7333333333333334,186,6,3.72
22,7,1,Jog,thigh,True,True,48,15.0,640,480,3.2,159,6,3.18
22,7,2,Jog,thigh,True,True,49,15.0,640,480,3.2666666666666666,157,6,3.14
22,7,3,Jog,thigh,True,True,52,15.0,640,480,3.466666666666667,171,6,3.42
22,7,4,Jog,thigh,True,True,51,15.0,640,480,3.4,182,6,3.64
22,8,1,Jog,thigh,True,True,46,15.0,640,480,3.066666666666667,146,6,2.92
22,8,2,Jog,thigh,True,True,58,15.0,640,480,3.8666666666666667,183,6,3.66
22,8,3,Jog,thigh,True,True,55,15.0,640,480,3.6666666666666665,188,6,3.76
22,8,4,Jog,thigh,True,True,56,15.0,640,480,3.7333333333333334,181,6,3.62
24,1,1,Sit to Stand,thigh,True,True,39,15.0,640,480,2.6,128,6,2.56
24,1,2,Sit to Stand,thigh,True,True,46,15.0,640,480,3.066666666666667,156,6,3.12
24,1,3,Sit to Stand,thigh,True,True,41,15.0,640,480,2.7333333333333334,156,6,3.12
24,1,4,Sit to Stand,thigh,True,True,38,15.0,640,480,2.533333333333333,131,6,2.62
24,2,1,Sit to Stand,thigh,True,True,40,15.0,640,480,2.6666666666666665,138,6,2.76
24,2,2,Sit to Stand,thigh,True,True,39,15.0,640,480,2.6,123,6,2.46
24,2,3,Sit to Stand,thigh,True,True,40,15.0,640,480,2.6666666666666665,132,6,2.64
24,2,4,Sit to Stand,thigh,True,True,36,15.0,640,480,2.4,150,6,3.0
24,3,1,Sit to Stand,thigh,True,True,42,15.0,640,480,2.8,159,6,3.18
24,3,2,Sit to Stand,thigh,True,True,39,15.0,640,480,2.6,145,6,2.9
24,3,3,Sit to Stand,thigh,True,True,41,15.0,640,480,2.7333333333333334,170,6,3.4
24,3,4,Sit to Stand,thigh,True,True,43,15.0,640,480,2.8666666666666667,162,6,3.24
24,4,1,Sit to Stand,thigh,True,True,41,15.0,640,480,2.7333333333333334,135,6,2.7
24,4,2,Sit to Stand,thigh,True,True,44,15.0,640,480,2.933333333333333,148,6,2.96
24,4,3,Sit to Stand,thigh,True,True,42,15.0,640,480,2.8,146,6,2.92
24,4,4,Sit to Stand,thigh,True,True,41,15.0,640,480,2.7333333333333334,148,6,2.96
24,5,1,Sit to Stand,thigh,True,True,42,15.0,640,480,2.8,133,6,2.66
24,5,2,Sit to Stand,thigh,True,True,39,15.0,640,480,2.6,129,6,2.58
24,5,3,Sit to Stand,thigh,True,True,37,15.0,640,480,2.466666666666667,125,6,2.5
24,5,4,Sit to Stand,thigh,True,True,45,15.0,640,480,3.0,154,6,3.08
24,6,1,Sit to Stand,thigh,True,True,44,15.0,640,480,2.933333333333333,178,6,3.56
24,6,2,Sit to Stand,thigh,True,True,44,15.0,640,480,2.933333333333333,172,6,3.44
24,6,3,Sit to Stand,thigh,True,True,41,15.0,640,480,2.7333333333333334,165,6,3.3
24,6,4,Sit to Stand,thigh,True,True,43,15.0,640,480,2.8666666666666667,169,6,3.38
24,7,1,Sit to Stand,thigh,True,True,42,15.0,640,480,2.8,158,6,3.16
24,7,2,Sit to Stand,thigh,True,True,39,15.0,640,480,2.6,132,6,2.64
24,7,3,Sit to Stand,thigh,True,True,46,15.0,640,480,3.066666666666667,149,6,2.98
24,7,4,Sit to Stand,thigh,True,True,43,15.0,640,480,2.8666666666666667,158,6,3.16
24,8,1,Sit to Stand,thigh,True,True,49,15.0,640,480,3.2666666666666666,160,6,3.2
24,8,2,Sit to Stand,thigh,True,True,42,15.0,640,480,2.8,153,6,3.06
24,8,3,Sit to Stand,thigh,True,True,45,15.0,640,480,3.0,164,6,3.28
24,8,4,Sit to Stand,thigh,True,True,42,15.0,640,480,2.8,156,6,3.12
27,1,1,Squat,thigh,True,True,74,15.0,640,480,4.933333333333334,250,6,5.0
27,1,2,Squat,thigh,True,True,71,15.0,640,480,4.733333333333333,245,6,4.9
27,1,3,Squat,thigh,True,True,66,15.0,640,480,4.4,242,6,4.84
27,1,4,Squat,thigh,True,True,60,15.0,640,480,4.0,225,6,4.5
27,2,1,Squat,thigh,True,True,42,15.0,640,480,2.8,145,6,2.9
27,2,2,Squat,thigh,True,True,41,15.0,640,480,2.7333333333333334,137,6,2.74
27,2,3,Squat,thigh,True,True,40,15.0,640,480,2.6666666666666665,129,6,2.58
27,2,4,Squat,thigh,True,True,38,15.0,640,480,2.533333333333333,134,6,2.68
27,3,1,Squat,thigh,True,True,67,15.0,640,480,4.466666666666667,231,6,4.62
27,3,2,Squat,thigh,True,True,75,15.0,640,480,5.0,239,6,4.78
27,3,3,Squat,thigh,True,True,67,15.0,640,480,4.466666666666667,226,6,4.52
27,3,4,Squat,thigh,True,True,71,15.0,640,480,4.733333333333333,241,6,4.82
27,4,1,Squat,thigh,True,True,51,15.0,640,480,3.4,167,6,3.34
27,4,2,Squat,thigh,True,True,49,15.0,640,480,3.2666666666666666,165,6,3.3
27,4,3,Squat,thigh,True,True,49,15.0,640,480,3.2666666666666666,168,6,3.36
27,4,4,Squat,thigh,True,True,50,15.0,640,480,3.3333333333333335,169,6,3.38
27,5,1,Squat,thigh,True,True,67,15.0,640,480,4.466666666666667,224,6,4.48
27,5,2,Squat,thigh,True,True,70,15.0,640,480,4.666666666666667,259,6,5.18
27,5,3,Squat,thigh,True,True,73,15.0,640,480,4.866666666666666,275,6,5.5
27,5,4,Squat,thigh,True,True,68,15.0,640,480,4.533333333333333,272,6,5.44
27,6,1,Squat,thigh,True,True,83,15.0,640,480,5.533333333333333,274,6,5.48
27,6,2,Squat,thigh,True,True,90,15.0,640,480,6.0,294,6,5.88
27,6,3,Squat,thigh,True,True,94,15.0,640,480,6.266666666666667,308,6,6.16
27,6,4,Squat,thigh,True,True,89,15.0,640,480,5.933333333333334,302,6,6.04
27,7,1,Squat,thigh,True,True,52,15.0,640,480,3.466666666666667,172,6,3.44
27,7,2,Squat,thigh,True,True,52,15.0,640,480,3.466666666666667,168,6,3.36
27,7,3,Squat,thigh,True,True,48,15.0,640,480,3.2,186,6,3.72
27,7,4,Squat,thigh,True,True,57,15.0,640,480,3.8,187,6,3.74
27,8,1,Squat,thigh,True,True,69,15.0,640,480,4.6,266,6,5.32
27,8,2,Squat,thigh,True,True,67,15.0,640,480,4.466666666666667,258,6,5.16
27,8,3,Squat,thigh,True,True,64,15.0,640,480,4.266666666666667,255,6,5.1
